Name of the material,Power,Scan speed,Hatch space,Layer thickness,Direction of specimen,Size of feedstock,HIP treatment,Heat treatment,Surface finish,Fatigue temperature,Load ratio,Stress concentration factor of specimens,life,Stress amplitude
316L,250.0,800.0,100.0,50.0,0,45.9,NO HIP,NHT;,SURF polish,25,0.1,1.0,4.303196057420489,2.369160175060954
316L,250.0,800.0,100.0,50.0,0,45.9,NO HIP,NHT;,SURF polish,25,0.1,1.0,4.704150516839799,2.3342727574071556
316L,250.0,800.0,100.0,50.0,0,45.9,NO HIP,NHT;,SURF polish,25,0.1,1.0,4.974971994298069,2.296665190261531
316L,250.0,800.0,100.0,50.0,0,45.9,NO HIP,NHT;,SURF polish,25,0.1,1.0,5.184691430817598,2.255320757365108
316L,250.0,800.0,100.0,50.0,0,45.9,NO HIP,NHT;,SURF polish,25,0.1,1.0,5.432969290874405,2.209112703738592
316L,250.0,800.0,100.0,50.0,0,45.9,NO HIP,NHT;,SURF polish,25,0.1,1.0,5.988112840268352,2.158121150337495
Ti-6Al-4V,170.0,1200.0,100.0,30.0,90,34.5,NO HIP,NHT;,SURF as-built,25,0.1,1.0,3.8530895298518657,2.4313155065355248
Ti-6Al-4V,170.0,1200.0,100.0,30.0,90,34.5,NO HIP,NHT;,SURF as-built,25,0.1,1.0,3.8937617620579434,2.4313155065355248
Ti-6Al-4V,170.0,1200.0,100.0,30.0,90,34.5,NO HIP,NHT;,SURF as-built,25,0.1,1.0,3.9190780923760737,2.3934874581471752
Ti-6Al-4V,170.0,1200.0,100.0,30.0,90,34.5,NO HIP,NHT;,SURF as-built,25,0.1,1.0,3.9222062774390163,2.4315567410481447
Ti-6Al-4V,170.0,1200.0,100.0,30.0,90,34.5,NO HIP,NHT;,SURF as-built,25,0.1,1.0,3.986323777050765,2.394416655665352
Ti-6Al-4V,170.0,1200.0,100.0,30.0,90,34.5,NO HIP,NHT;,SURF as-built,25,0.1,1.0,4.107209969647869,2.3526262368308033
Ti-6Al-4V,170.0,1200.0,100.0,30.0,90,34.5,NO HIP,NHT;,SURF as-built,25,0.1,1.0,4.133538908370218,2.3526262368308033
Ti-6Al-4V,170.0,1200.0,100.0,30.0,90,34.5,NO HIP,NHT;,SURF as-built,25,0.1,1.0,4.748962861256161,2.176583180765493
Ti-6Al-4V,170.0,1200.0,100.0,30.0,90,34.5,NO HIP,NHT;,SURF as-built,25,0.1,1.0,4.895422546039408,2.2308064284688833
